step,S,T_remaining,delta,gamma,theta,option_value,shares_held,cash,hedge_cost,portfolio_value,path
0,60.56,0.25,0.5979,0.126467,-0.010754,1.5821,0.5979,-34.6734,0.0453,1.5369,0
1,60.7614,0.246,0.6226,0.124793,-0.010897,1.6893,0.6226,-36.1791,0.0019,1.6492,0
2,60.7175,0.2421,0.6165,0.126516,-0.010933,1.6464,0.6165,-35.8171,0.0008,1.6146,0
3,60.978,0.2381,0.6486,0.123404,-0.01107,1.7952,0.6486,-37.7836,0.0024,1.7663,0
4,61.5816,0.2341,0.7198,0.111868,-0.011126,2.1924,0.7198,-42.1798,0.0055,2.1456,0
5,61.4997,0.2302,0.7108,0.1147,-0.011193,2.1176,0.7108,-41.6338,0.0012,2.0778,0
6,61.4178,0.2262,0.7015,0.117564,-0.01126,2.0435,0.7015,-41.0714,0.0013,2.0109,0
7,62.048,0.2222,0.7714,0.102407,-0.011106,2.4919,0.7714,-45.4241,0.0054,2.4402,0
8,62.3616,0.2183,0.8031,0.094221,-0.010962,2.7229,0.8031,-47.4127,0.0025,2.6716,0
9,62.1854,0.2143,0.787,0.099938,-0.01112,2.5668,0.787,-46.4187,0.0023,2.5194,0
10,62.4104,0.2103,0.8098,0.093918,-0.011008,2.7304,0.8098,-47.8522,0.0018,2.6863,0
11,62.2365,0.2063,0.794,0.099773,-0.011178,2.5748,0.794,-46.88,0.0022,2.5347,0
12,62.0621,0.2024,0.777,0.105783,-0.011343,2.4215,0.777,-45.8389,0.0024,2.3856,0
13,62.1676,0.1984,0.789,0.103294,-0.011322,2.4877,0.789,-46.5948,0.0009,2.4584,0
14,61.425,0.1944,0.7044,0.126216,-0.011756,1.9153,0.7044,-41.4142,0.0117,1.8524,0
15,60.764,0.1905,0.6151,0.142663,-0.011792,1.4615,0.6151,-36.0106,0.0122,1.3672,0
16,60.5565,0.1865,0.5843,0.147617,-0.011768,1.32,0.5843,-34.1533,0.0042,1.229,0
17,60.177,0.1825,0.5259,0.153272,-0.011527,1.0923,0.5259,-30.6522,0.0079,0.9932,0
18,60.307,0.1786,0.5444,0.153997,-0.011737,1.145,0.5444,-31.7761,0.0014,1.0547,0
19,59.969,0.1746,0.49,0.157542,-0.011426,0.9534,0.49,-28.5269,0.0073,0.8577,0
20,59.4418,0.1706,0.4045,0.156197,-0.010594,0.7016,0.4045,-23.4615,0.0114,0.5829,0
21,60.0084,0.1667,0.4923,0.161164,-0.01164,0.9393,0.4923,-28.7386,0.0066,0.8012,0
22,59.9317,0.1627,0.4777,0.163102,-0.011611,0.8853,0.4777,-27.8739,0.002,0.7564,0
23,59.967,0.1587,0.4813,0.165107,-0.01175,0.8853,0.4813,-28.0936,0.0003,0.768,0
24,59.4351,0.1548,0.391,0.162551,-0.010815,0.6369,0.391,-22.7452,0.0121,0.4949,0
25,59.2389,0.1508,0.3558,0.160331,-0.010397,0.5483,0.3558,-20.6694,0.0047,0.4095,0
26,59.2901,0.1468,0.3604,0.163066,-0.010581,0.5515,0.3604,-20.9442,0.0003,0.4237,0
27,58.8668,0.1429,0.2894,0.152133,-0.009421,0.3995,0.2894,-16.7763,0.0094,0.2579,0
28,59.017,0.1389,0.3083,0.158395,-0.009903,0.4304,0.3083,-17.898,0.0014,0.297,0
29,58.8012,0.1349,0.2702,0.151603,-0.009244,0.3541,0.2702,-15.6683,0.005,0.2223,0
30,58.7014,0.131,0.2504,0.14821,-0.008914,0.315,0.2504,-14.5101,0.0026,0.1899,0
31,58.4863,0.127,0.2144,0.138566,-0.008142,0.2527,0.2144,-12.4132,0.0047,0.1287,0
32,59.1892,0.123,0.3184,0.170153,-0.010605,0.425,0.3184,-18.5753,0.0077,0.2695,0
33,59.1935,0.119,0.3143,0.172011,-0.010669,0.411,0.3143,-18.3384,0.0005,0.267,0
34,58.8057,0.1151,0.2452,0.156073,-0.009288,0.2882,0.2452,-14.2893,0.0091,0.1327,0
35,59.1237,0.1111,0.292,0.172488,-0.010514,0.3591,0.292,-17.0609,0.0035,0.2047,0
36,58.6754,0.1071,0.2137,0.150056,-0.00874,0.2321,0.2137,-12.4776,0.0103,0.0604,0
37,58.7627,0.1032,0.2209,0.15565,-0.009085,0.2382,0.2209,-12.9052,0.0005,0.0763,0
38,58.0436,0.0992,0.1195,0.107984,-0.005928,0.107,0.1195,-7.0337,0.0132,-0.0981,0
39,57.5642,0.0952,0.0702,0.074986,-0.003965,0.0551,0.0702,-4.2045,0.0064,-0.163,0
40,57.6455,0.0913,0.0713,0.077398,-0.004096,0.055,0.0713,-4.2679,0.0001,-0.1582,0
41,57.9262,0.0873,0.0896,0.093624,-0.005023,0.0709,0.0896,-5.3316,0.0013,-0.1402,0
42,57.9986,0.0833,0.0903,0.096274,-0.005165,0.07,0.0903,-5.374,0.0001,-0.1348,0
43,57.9651,0.0794,0.0809,0.090882,-0.00484,0.0599,0.0809,-4.8294,0.0012,-0.14,0
44,57.8633,0.0754,0.066,0.079976,-0.004209,0.0459,0.066,-3.9725,0.0019,-0.151,0
45,57.3305,0.0714,0.0289,0.042618,-0.002161,0.0171,0.0289,-1.8487,0.0048,-0.1917,0
46,57.0775,0.0675,0.0167,0.027662,-0.001376,0.0089,0.0167,-1.1516,0.0016,-0.2009,0
47,56.9194,0.0635,0.0104,0.01908,-0.000937,0.0051,0.0104,-0.7981,0.0008,-0.2045,0
48,57.3127,0.0595,0.0172,0.030165,-0.001506,0.0087,0.0172,-1.1876,0.0005,-0.2011,0
49,57.4473,0.0556,0.0179,0.032212,-0.001612,0.0088,0.0179,-1.2275,0.0,-0.199,0
50,56.8153,0.0516,0.0038,0.008685,-0.000418,0.0015,0.0038,-0.4284,0.0018,-0.2124,0
51,56.9416,0.0476,0.0036,0.008612,-0.000416,0.0014,0.0036,-0.4176,0.0,-0.212,0
52,56.8112,0.0437,0.0017,0.004631,-0.000221,0.0006,0.0017,-0.311,0.0002,-0.2128,0
53,56.576,0.0397,0.0005,0.001602,-7.5e-05,0.0002,0.0005,-0.2425,0.0002,-0.2134,0
54,56.8056,0.0357,0.0006,0.00182,-8.6e-05,0.0002,0.0006,-0.2451,0.0,-0.2133,0
55,57.1886,0.0317,0.001,0.003235,-0.000155,0.0003,0.001,-0.2697,0.0,-0.2132,0
56,57.5377,0.0278,0.0015,0.005186,-0.000251,0.0004,0.0015,-0.302,0.0,-0.2129,0
57,57.2403,0.0238,0.0002,0.000849,-4e-05,0.0,0.0002,-0.225,0.0002,-0.2136,0
58,57.1368,0.0198,0.0,0.000152,-7e-06,0.0,0.0,-0.2154,0.0,-0.2137,0
59,57.2664,0.0159,0.0,4.6e-05,-2e-06,0.0,0.0,-0.2141,0.0,-0.2137,0
60,57.6322,0.0119,0.0,3.3e-05,-2e-06,0.0,0.0,-0.214,0.0,-0.2138,0
61,57.4658,0.0079,0.0,0.0,-0.0,0.0,0.0,-0.2138,0.0,-0.2138,0
62,57.407,0.004,0.0,0.0,-0.0,0.0,0.0,-0.2138,0.0,-0.2138,0
63,57.0133,0.0,0.0,0.0,0.0,0.0,0.0,-0.2139,0.0,-0.2139,0
